section,subsection,title,abstract,url,uri,byline,item_type,updated_date,created_date,published_date,material_type_facet,kicker,des_facet,org_facet,per_facet,geo_facet,multimedia,short_url
us,politics,Biden Tries to Flip the Politics of Immigration,The president has made a point of calling out Republicans for tanking the border restrictions they have demanded for years.,https://www.nytimes.com/2024/02/23/us/politics/biden-immigration-executive-action.html,nyt://article/601f7087-4f71-5a6b-b3b8-26ae8392ab3c,By Michael D. Shear,Article,2024-02-23T16:57:15-05:00,2024-02-23T13:59:13-05:00,2024-02-23T13:59:13-05:00,,News Analysis,"['Illegal Immigration', 'Immigration and Emigration', 'Asylum, Right of', 'Executive Orders and Memorandums', 'Presidential Election of 2024', 'United States Politics and Government']","['Democratic Party', 'Republican Party']","['Biden, Joseph R Jr', 'Trump, Donald J']",[],"[{'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23dc-assess-hwjt/23dc-assess-hwjt-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1363, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Migrants and asylum seekers waiting on the southern bank of the Rio Grande in Matamoros, Mexico, in May 2023.', 'copyright': 'Meridith Kohut for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23dc-assess-hwjt/23dc-assess-hwjt-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Migrants and asylum seekers waiting on the southern bank of the Rio Grande in Matamoros, Mexico, in May 2023.', 'copyright': 'Meridith Kohut for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23dc-assess-hwjt/23dc-assess-hwjt-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Migrants and asylum seekers waiting on the southern bank of the Rio Grande in Matamoros, Mexico, in May 2023.', 'copyright': 'Meridith Kohut for The New York Times'}]",
nyregion,,Why New York’s Plan to Give Migrants Debit Cards Came Under Fire,A pilot program in New York City to give migrant families debit cards to buy food became an easy target for right-wing critics. Here’s a quick explainer.,https://www.nytimes.com/2024/02/23/nyregion/migrants-debit-cards-adams.html,nyt://article/5f95cf47-4612-528e-b052-7b6a79dcb60d,By Emma G. Fitzsimmons,Article,2024-02-23T13:15:52-05:00,2024-02-23T12:23:04-05:00,2024-02-23T12:23:04-05:00,,,"['Immigration and Emigration', 'Debit Cards', 'Banking and Financial Institutions', 'Welfare (US)', 'Food', 'Government Contracts and Procurement']",['Mobility Capital Finance Inc'],"['Adams, Eric L']",['New York City'],"[{'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23migrants-debitcard-01-jbpg/23migrants-debitcard-01-jbpg-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'The debit cards are meant to be used for food and baby supplies. ', 'copyright': 'Hiroko Masuike/The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23migrants-debitcard-01-jbpg/23migrants-debitcard-01-jbpg-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'The debit cards are meant to be used for food and baby supplies. ', 'copyright': 'Hiroko Masuike/The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23migrants-debitcard-01-jbpg/23migrants-debitcard-01-jbpg-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'The debit cards are meant to be used for food and baby supplies. ', 'copyright': 'Hiroko Masuike/The New York Times'}]",
us,politics,Alabama Lawmakers Move to Protect I.V.F. Treatments,A court ruling declaring frozen embryos to be legally considered children has set off a scramble among leaders in both parties to preserve access to a crucial reproductive treatment.,https://www.nytimes.com/2024/02/23/us/politics/alabama-ivf-treatment-law.html,nyt://article/560489f3-121d-5b35-ab10-cc12645e75b0,By Eduardo Medina and Emily Cochrane,Article,2024-02-23T16:56:07-05:00,2024-02-23T14:05:30-05:00,2024-02-23T14:05:30-05:00,,,"['In Vitro Fertilization', 'Embryos (Human)', 'Infertility', 'State Legislatures', 'Law and Legislation', 'Politics and Government', 'Decisions and Verdicts', 'Supreme Courts (State)']",[],[],['Alabama'],"[{'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23nat-alabama-legislature-fzlm/23nat-alabama-legislature-fzlm-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1366, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Gov. Kay Ivey, a Republican, said in a statement on Friday that fostering “a culture of life” included helping “couples hoping and praying to be parents who utilize I.V.F.”', 'copyright': 'The Montgomery Advertiser, via Associated Press'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23nat-alabama-legislature-fzlm/23nat-alabama-legislature-fzlm-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Gov. Kay Ivey, a Republican, said in a statement on Friday that fostering “a culture of life” included helping “couples hoping and praying to be parents who utilize I.V.F.”', 'copyright': 'The Montgomery Advertiser, via Associated Press'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23nat-alabama-legislature-fzlm/23nat-alabama-legislature-fzlm-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Gov. Kay Ivey, a Republican, said in a statement on Friday that fostering “a culture of life” included helping “couples hoping and praying to be parents who utilize I.V.F.”', 'copyright': 'The Montgomery Advertiser, via Associated Press'}]",
health,,Major Embryo Shipping Company Halts Business in Alabama,The decision means I.V.F. patients who want to transfer frozen embryos to another state may not be able to do so.,https://www.nytimes.com/2024/02/23/health/embryo-shipping-alabama-ivf.html,nyt://article/78388723-069a-5b48-9cbe-7785e0943059,By Sarah Kliff,Article,2024-02-23T16:10:33-05:00,2024-02-23T12:54:48-05:00,2024-02-23T12:54:48-05:00,,,"['Embryos (Human)', 'Decisions and Verdicts', 'Supreme Courts (State)', 'In Vitro Fertilization', 'Infertility', 'Delivery Services']",['CryoPort Inc'],[],['Alabama'],"[{'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23ivf-shipments-tvfw/23ivf-shipments-tvfw-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1333, 'width': 2000, 'type': 'image', 'subtype': 'photo', 'caption': 'A storage container containing frozen embryos.', 'copyright': 'Shawn Poynter for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23ivf-shipments-tvfw/23ivf-shipments-tvfw-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'A storage container containing frozen embryos.', 'copyright': 'Shawn Poynter for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23ivf-shipments-tvfw/23ivf-shipments-tvfw-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'A storage container containing frozen embryos.', 'copyright': 'Shawn Poynter for The New York Times'}]",
us,politics,How Did Haley’s South Carolina Become Trump Country? Ask the Tea Party.,"Veterans of the conservative, grass-roots movement see the state’s presidential primary as a fight between a “crazy uncle” and a “snowflake niece.” They’ve made their choice.",https://www.nytimes.com/2024/02/23/us/politics/haley-trump-tea-party.html,nyt://article/314305fe-e9a4-5c96-b5ab-c381f6d83467,By Charles Homans,Article,2024-02-23T10:41:26-05:00,2024-02-23T05:02:44-05:00,2024-02-23T05:02:44-05:00,,,"['Presidential Election of 2024', 'United States Politics and Government', 'Conservatism (US Politics)', 'Tea Party Movement']",['Republican Party'],"['Haley, Nikki R', 'Trump, Donald J']",['South Carolina'],"[{'url': 'https://static01.nyt.com/images/2024/02/21/multimedia/21pol-sc-teaparty-sunny-1-gfzv/21pol-sc-teaparty-sunny-1-gfzv-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1366, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Claude and Sunny O’Donovan were active in the Tea Party movement in Aiken, S.C. and once hosted Ms. Haley in their home. Now they’re Trump voters.', 'copyright': 'Dustin Chambers for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/21/multimedia/21pol-sc-teaparty-sunny-1-gfzv/21pol-sc-teaparty-sunny-1-gfzv-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Claude and Sunny O’Donovan were active in the Tea Party movement in Aiken, S.C. and once hosted Ms. Haley in their home. Now they’re Trump voters.', 'copyright': 'Dustin Chambers for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/21/multimedia/21pol-sc-teaparty-sunny-1-gfzv/21pol-sc-teaparty-sunny-1-gfzv-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Claude and Sunny O’Donovan were active in the Tea Party movement in Aiken, S.C. and once hosted Ms. Haley in their home. Now they’re Trump voters.', 'copyright': 'Dustin Chambers for The New York Times'}]",
world,middleeast,"Blinken Says New Israeli Settlements in West Bank Are Illegal, Reversing a Trump Policy",Mr. Blinken said he was disappointed with the announcement from Israel’s finance minister of plans for thousands of new residences in Palestinian territories.,https://www.nytimes.com/2024/02/23/world/middleeast/blinken-israel-west-bank-settlements.html,nyt://article/b4999871-4b76-5553-9a0b-a7e2f76369aa,By Edward Wong,Article,2024-02-23T17:03:46-05:00,2024-02-23T14:54:44-05:00,2024-02-23T14:54:44-05:00,,,"['Israeli Settlements', 'Israel-Gaza War (2023- )']",['Palestinian Authority'],"['Blinken, Antony J', 'Trump, Donald J', 'Netanyahu, Benjamin', 'Pompeo, Mike']","['West Bank', 'Israel']","[{'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23mideast-crisis-blinken-bkcw/23mideast-crisis-blinken-bkcw-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Secretary of State Antony J. Blinken speaking to reporters in Buenos Aires on Friday.', 'copyright': 'Juan Mabromata/Agence France-Presse — Getty Images'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23mideast-crisis-blinken-bkcw/23mideast-crisis-blinken-bkcw-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Secretary of State Antony J. Blinken speaking to reporters in Buenos Aires on Friday.', 'copyright': 'Juan Mabromata/Agence France-Presse — Getty Images'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23mideast-crisis-blinken-bkcw/23mideast-crisis-blinken-bkcw-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Secretary of State Antony J. Blinken speaking to reporters in Buenos Aires on Friday.', 'copyright': 'Juan Mabromata/Agence France-Presse — Getty Images'}]",
books,,Let Us Help You Find Your Next Book,"Reading picks from Book Review editors, guaranteed to suit any mood.",https://www.nytimes.com/interactive/2024/books/what-to-read-next.html,nyt://interactive/515848de-c0f5-5318-a1f3-9a04b984e2f2,By The New York Times Books Staff,Interactive,2024-02-23T09:19:21-05:00,2024-02-22T15:01:37-05:00,2024-02-22T15:01:37-05:00,,,"['vis-design', 'Books and Literature', 'genre-books-science-fiction', 'genre-books-thriller', 'genre-books-childrens', 'Content Type: Service']",[],[],[],"[{'url': 'https://static01.nyt.com/images/2024/02/21/books/your-next-book-1708542732123/your-next-book-1708542732123-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': ''}, {'url': 'https://static01.nyt.com/images/2024/02/21/books/your-next-book-1708542732123/your-next-book-1708542732123-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': ''}, {'url': 'https://static01.nyt.com/images/2024/02/21/books/your-next-book-1708542732123/your-next-book-1708542732123-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': ''}]",
us,,A Marketplace of Girl Influencers Managed by Moms and Stalked by Men,"Seeking social media stardom for their underage daughters, mothers post images of them on Instagram. The accounts draw men sexually attracted to children, and they sometimes pay to see more.",https://www.nytimes.com/2024/02/22/us/instagram-child-influencers.html,nyt://article/3f3e01e8-5347-546a-93f5-c7e2b7c26648,By Jennifer Valentino-DeVries and Michael H. Keller,Article,2024-02-23T16:27:52-05:00,2024-02-22T21:42:30-05:00,2024-02-22T21:42:30-05:00,,,"['Social Media', 'Child Abuse and Neglect', 'Photography', 'Dancing', 'Fashion and Apparel', 'Child Pornography', 'Women and Girls', 'Gymnastics', 'Models (Professional)', 'vis-design']","['Instagram Inc', 'Meta Platforms Inc', 'Facebook Inc', 'OnlyFans', 'TikTok (ByteDance)', 'Telegram LLC']",[],['United States'],"[{'url': 'https://static01.nyt.com/images/2024/02/22/multimedia/instakids-promo/instakids-promo-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'This is a curated selection of real comments and emojis associated with an Instagram photo of a 9-year-old girl in a golden bikini lounging on a towel. It was posted by her parents.', 'copyright': 'The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/22/multimedia/instakids-promo/instakids-promo-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'This is a curated selection of real comments and emojis associated with an Instagram photo of a 9-year-old girl in a golden bikini lounging on a towel. It was posted by her parents.', 'copyright': 'The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/22/multimedia/instakids-promo/instakids-promo-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'This is a curated selection of real comments and emojis associated with an Instagram photo of a 9-year-old girl in a golden bikini lounging on a towel. It was posted by her parents.', 'copyright': 'The New York Times'}]",
us,,Five Takeaways From The Times’s Investigation Into Child Influencers,"Mothers are running Instagram accounts for underage girls aspiring to stardom. Many encounter a dark underworld dominated by men, including pedophiles.",https://www.nytimes.com/2024/02/22/us/takeaways-instagram-child-influencers.html,nyt://article/5669b048-5c26-591d-83eb-707ac3fafe80,By Jennifer Valentino-DeVries and Michael H. Keller,Article,2024-02-22T21:55:20-05:00,2024-02-22T21:43:38-05:00,2024-02-22T21:43:38-05:00,,,"['Social Media', 'Computers and the Internet', 'Sex Crimes', 'Child Abuse and Neglect', 'Child Pornography']","['Instagram Inc', 'Meta Platforms Inc', 'Telegram LLC']",[],[],"[{'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23instakids-takeaways-lcbk/23instakids-takeaways-lcbk-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 2048, 'width': 1366, 'type': 'image', 'subtype': 'photo', 'caption': 'A girls’ fashion show in New York this month.', 'copyright': 'Natalie Keyssar for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23instakids-takeaways-lcbk/23instakids-takeaways-lcbk-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'A girls’ fashion show in New York this month.', 'copyright': 'Natalie Keyssar for The New York Times'}, {'url': 'https://static01.nyt.com/images/2024/02/23/multimedia/23instakids-takeaways-lcbk/23instakids-takeaways-lcbk-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'A girls’ fashion show in New York this month.', 'copyright': 'Natalie Keyssar for The New York Times'}]",
business,,Florida Passes Sweeping Bill to Keep Young People Off Social Media,"The measure would bar networks like YouTube, TikTok and Instagram from giving accounts to children under 16.",https://www.nytimes.com/2024/02/23/business/florida-social-media-youths.html,nyt://article/6b6811c9-e009-5732-9356-9cc089cbcd4d,By Natasha Singer,Article,2024-02-23T16:25:35-05:00,2024-02-23T16:25:35-05:00,2024-02-23T16:25:35-05:00,,,"['Social Media', 'Law and Legislation', 'State Legislatures', 'Youth', 'Children and Childhood', 'Mobile Applications', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', ""Children's Online Privacy Protection Act""]","['Facebook Inc', 'Instagram Inc', 'Meta Platforms Inc', 'Snap Inc', 'TikTok (ByteDance)', 'YouTube.com', 'Ethics and Public Policy Center']","['DeSantis, Ron']",['Florida'],"[{'url': 'https://static01.nyt.com/images/2024/02/23/business/23FLORIDA-BAN/23FLORIDA-BAN-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1298, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'New Florida rules would require social networks to prevent young people under 16 from signing up for accounts — and terminate accounts belonging to underage users.', 'copyright': 'Matt Cardy/Getty Images'}, {'url': 'https://static01.nyt.com/images/2024/02/23/business/23FLORIDA-BAN/23FLORIDA-BAN-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'New Florida rules would require social networks to prevent young people under 16 from signing up for accounts — and terminate accounts belonging to underage users.', 'copyright': 'Matt Cardy/Getty Images'}, {'url': 'https://static01.nyt.com/images/2024/02/23/business/23FLORIDA-BAN/23FLORIDA-BAN-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'New Florida rules would require social networks to prevent young people under 16 from signing up for accounts — and terminate accounts belonging to underage users.', 'copyright': 'Matt Cardy/Getty Images'}]",
